uid,nickname,time,star,comment
1773508585,chuifenglang,2021-01-05 17:27:18,5,双十一买的，用了一段时间才来评价。除了包装简陋了点，其他都不错，相机超强大，能50倍变焦，相片质量清晰，像素高，屏幕显示也比较细腻。手感略沉，人脸识别和指纹识别都很快。响应速度很快，音质也不错，超级快充真心无敌
477259158,j***I,2021-01-05 16:44:20,5,特别好用，很是喜欢
-1566540792,zhu-z,2021-01-05 15:18:23,5,一直信赖华为，用着挺好的。
-1636469088,Forever_sky,2021-01-05 13:53:29,5,运气非常好，刚刚准备换手机就在京东抢到了，心情非常的美丽
-620402135,东京**jd,2021-01-05 13:21:56,5,第n次买华为的产品了，除了信任还有信任，支持民族企业，美国的打压封锁只是暂时的，华为的明天会更加辉煌。p系列手机一直是我的最爱，加油
865830264,纸老虎888,2021-01-05 13:11:35,5,非常喜欢这款手机
-452616228,jd_4d4d007a635bc,2021-01-05 12:08:49,5,华为手机，还是挺好用的
420851249,139*****951_p,2021-01-05 10:42:18,5,可以
-752043789,j***1,2021-01-05 09:50:36,5,外观好看，要是什么时候5G网络能用起来那就完美了，外观好看，要是什么时候5G网络能用起来那就完美了，外观好看，要是什么时候5G网络能用起来那就完美了，外观好看，要是什么时候5G网络能用起来那就完美了，
-1338349305,嘎***哈,2021-01-05 09:45:26,5,第二部P系列手机了，从一三年买的第一部智能机开始就一直是华粉了，因为之前使用P20pro，所以这手机使用起来比较顺手，增添了一些新功能，但不知为何，感觉新手机的电池与旧手机使用时间差不多，选的这个颜色很漂亮。
-233174031,jd_139188bug,2021-01-04 18:32:57,5,好好好，不错的体验啊
2092040007,e***v,2021-01-04 17:10:06,5,华为品质过关，使用流畅
1009761298,guo时尚达人,2021-01-04 16:15:10,5,帮老婆买的，用过一段时间手机不错，中国崛起，华为崛起
-385615711,b***e,2021-01-04 15:27:29,5,第一次用华为手机 有点不习惯 适应后 真香 各种便捷操作很友好 超级快充非常爽 期待能用久些 交给时间去验证哈哈哈哈
1232426346,jd_137639bomg,2021-01-04 15:11:36,5,很好
-1636476872,s***9,2021-01-04 14:33:50,5,外形外观：外形非常漂亮，曲线十分圆润，像一件艺术品，后壳看着十分光滑，但却不会留下指纹，这一点特别满意！
屏幕音效：屏幕刷新频率非常高，显示效果完美，看视频玩游戏效果一流！
拍照效果：拍照是最满意的地方，五倍光学变焦防抖能力很突出，上手容易，拍出好照片变的轻而易举，每一个人都能成为摄影师！
-1046807517,j***6,2021-01-04 14:15:25,5,???物理太快了，哈哈，当天买当天就收到了，太棒了
